doc_id,title,department,year,region,text
D001,"Document Title D001 (marketing)",marketing,2021,europe,"This is the body text of document D001 in department marketing for region europe and year 2021."
D002,"Document Title D002 (legal)",legal,2025,latin_america,"This is the body text of document D002 in department legal for region latin_america and year 2025."
D003,"Document Title D003 (hr)",hr,2024,europe,"This is the body text of document D003 in department hr for region europe and year 2024."
D004,"Document Title D004 (marketing)",marketing,2024,europe,"This is the body text of document D004 in department marketing for region europe and year 2024."
D005,"Document Title D005 (engineering)",engineering,2022,europe,"This is the body text of document D005 in department engineering for region europe and year 2022."
D006,"Document Title D006 (sales)",sales,2024,asia_pacific,"This is the body text of document D006 in department sales for region asia_pacific and year 2024."
D007,"Document Title D007 (marketing)",marketing,2024,europe,"This is the body text of document D007 in department marketing for region europe and year 2024."
D008,"Document Title D008 (finance)",finance,2025,latin_america,"This is the body text of document D008 in department finance for region latin_america and year 2025."
D009,"Document Title D009 (hr)",hr,2026,latin_america,"This is the body text of document D009 in department hr for region latin_america and year 2026."
D010,"Document Title D010 (legal)",legal,2024,north_america,"This is the body text of document D010 in department legal for region north_america and year 2024."
D011,"Document Title D011 (finance)",finance,2022,north_america,"This is the body text of document D011 in department finance for region north_america and year 2022."
D012,"Document Title D012 (legal)",legal,2024,europe,"This is the body text of document D012 in department legal for region europe and year 2024."
D013,"Document Title D013 (engineering)",engineering,2023,latin_america,"This is the body text of document D013 in department engineering for region latin_america and year 2023."
D014,"Document Title D014 (engineering)",engineering,2021,europe,"This is the body text of document D014 in department engineering for region europe and year 2021."
D015,"Document Title D015 (marketing)",marketing,2025,europe,"This is the body text of document D015 in department marketing for region europe and year 2025."
D016,"Document Title D016 (finance)",finance,2022,north_america,"This is the body text of document D016 in department finance for region north_america and year 2022."
D017,"Document Title D017 (legal)",legal,2023,latin_america,"This is the body text of document D017 in department legal for region latin_america and year 2023."
D018,"Document Title D018 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D018 in department engineering for region asia_pacific and year 2021."
D019,"Document Title D019 (finance)",finance,2026,latin_america,"This is the body text of document D019 in department finance for region latin_america and year 2026."
D020,"Document Title D020 (legal)",legal,2025,north_america,"This is the body text of document D020 in department legal for region north_america and year 2025."
D021,"Document Title D021 (finance)",finance,2022,latin_america,"This is the body text of document D021 in department finance for region latin_america and year 2022."
D022,"Document Title D022 (marketing)",marketing,2025,north_america,"This is the body text of document D022 in department marketing for region north_america and year 2025."
D023,"Document Title D023 (finance)",finance,2025,latin_america,"This is the body text of document D023 in department finance for region latin_america and year 2025."
D024,"Document Title D024 (hr)",hr,2021,europe,"This is the body text of document D024 in department hr for region europe and year 2021."
D025,"Document Title D025 (finance)",finance,2023,europe,"This is the body text of document D025 in department finance for region europe and year 2023."
D026,"Document Title D026 (sales)",sales,2020,latin_america,"This is the body text of document D026 in department sales for region latin_america and year 2020."
D027,"Document Title D027 (engineering)",engineering,2021,latin_america,"This is the body text of document D027 in department engineering for region latin_america and year 2021."
D028,"Document Title D028 (marketing)",marketing,2021,north_america,"This is the body text of document D028 in department marketing for region north_america and year 2021."
